Id,PublisherId,PublisherName,Status,LastPostDate,TimeSinceLastPost_Days,PostsCount_Sep2025_Jan2026,PostsCount_Jan2026_Today,TotalDistinctPostsTracked,DataStatus,ActivationStatus
28096560,10025601156,Kalynn Terrell,Active,Pending,,,,,Pending,Pending - data not yet available
28098099,10025602698,Dalai Mama,Active,Pending,,,,,Pending,Pending - data not yet available
28098107,10025602706,Kaleo Maclay,Active,Pending,,,,,Pending,Pending - data not yet available
28098754,10025603353,Alexis Barbera,Active,Pending,,,,,Pending,Pending - data not yet available
28104934,10025609290,Krystal Ordini,Active,Pending,,,,,Pending,Pending - data not yet available
28104994,10025609389,Krista | health coach + biz mentor,Active,Pending,,,,,Pending,Pending - data not yet available
28105001,10025609396,Mallory Hank-Johnson,Active,Pending,,,,,Pending,Pending - data not yet available
28105040,10025609437,madkstally,Active,Pending,,,,,Pending,Pending - data not yet available
28105854,10025610227,ALICE,Active,Pending,,,,,Pending,Pending - data not yet available
28106225,10025610591,Kita Renee | Dallas Creator,Active,Pending,,,,,Pending,Pending - data not yet available
28106262,10025610629,allivsee,Active,,,0,0,0,Verified,Never Activated
28106377,10025610736,ALYSSA KATE,Active,Pending,,,,,Pending,Pending - data not yet available
28106416,10025610775,Valerie Halpert,Active,Pending,,,,,Pending,Pending - data not yet available
28106420,10025610779,arialsellinger,Active,Pending,,,,,Pending,Pending - data not yet available
28106974,10025611284,caleb,Active,Pending,,,,,Pending,Pending - data not yet available
28107475,10025611827,Official,Active,Pending,,,,,Pending,Pending - data not yet available
28107668,10025612068,iam.victoriavalentine,Active,,,0,0,0,Verified,Never Activated
28108267,10025612672,Haley Mermaid,Active,,,0,0,0,Verified,Never Activated
28108859,10025613214,Alexis Bloomer,Active,Pending,,,,,Pending,Pending - data not yet available
28109443,10025613835,Stacey | Real Motherhood,Active,Pending,,,,,Pending,Pending - data not yet available
28113812,10025618151,rachel.waldorf,Active,Pending,,,,,Pending,Pending - data not yet available
28113894,10025618350,tsquaredofficial,Active,Pending,,,,,Pending,Pending - data not yet available
28118796,10025622743,balaciaga_,Active,,,0,0,0,Verified,Never Activated
28119058,10025622972,Tatum Thrift Walker,Active,,,0,0,0,Verified,Never Activated
28119119,10025623033,Alyssa F.,Active,Pending,,,,,Pending,Pending - data not yet available
28119328,10025623247,Dalyla Collection,Active,,,0,0,0,Verified,Never Activated
28119341,10025623260,Lala Bricheon,Active,,,0,0,0,Verified,Never Activated
28119624,10025623545,Crystal Theresa,Active,Pending,,,,,Pending,Pending - data not yet available
28119777,10025623700,imalissiaicela,Active,Pending,,,,,Pending,Pending - data not yet available
28119855,10025623775,Molly Donlan | Reiki Master Teacher & Crystal Healer,Active,Pending,,,,,Pending,Pending - data not yet available
28119868,10025623788,Aleanndra,Active,,,0,0,0,Verified,Never Activated
28119903,10025623822,Kalia Yang,Active,Pending,,,,,Pending,Pending - data not yet available
28119928,10025623848,kellierenehall,Active,,,0,0,0,Verified,Never Activated
28121449,10025625345,Jalia Pettis,Active,,,0,0,0,Verified,Never Activated
28121656,10025625552,Psalms 46:5,Active,,,0,0,0,Verified,Never Activated
28121856,10025625747,Sydney Palmieri,Active,Pending,,,,,Pending,Pending - data not yet available
28121872,10025625763,averyywalter,Active,Pending,,,,,Pending,Pending - data not yet available
28122433,10025626282,Adrienne Salinas,Active,Pending,,,,,Pending,Pending - data not yet available
28123654,10025627506,The Alcala Family ❤️,Active,,,0,0,0,Verified,Never Activated
28126821,10025630643,Kendal,Active,,,0,0,0,Verified,Never Activated
28127647,10025631481,Jennifer Matus | Realtor | Digital Creator,Active,Pending,,,,,Pending,Pending - data not yet available
28127904,10025631738,krissycorti_digitalmom,Active,,,0,0,0,Verified,Never Activated
28127974,10025631812,isamarvalenzuelag,Active,,,0,0,0,Verified,Never Activated
28128876,10025632712,Nicole Galvin,Active,Pending,,,,,Pending,Pending - data not yet available
28128935,10025632771,Malathy Ajay,Active,Pending,,,,,Pending,Pending - data not yet available
28129845,10025633676,Alexandra Sabol,Active,Pending,,,,,Pending,Pending - data not yet available
28129888,10025633718,Valentina Patruno,Active,Pending,,,,,Pending,Pending - data not yet available
28129917,10025633740,Katerin Alegria,Active,Pending,,,,,Pending,Pending - data not yet available
28129975,10025633809,__deniseaaliyah,Active,Pending,,,,,Pending,Pending - data not yet available
28134235,10025638055,Alma Rivera,Active,Pending,,,,,Pending,Pending - data not yet available
28136099,10025640031,jessyperalta_,Active,,,0,0,0,Verified,Never Activated
28136339,10025640266,alanna,Active,,,0,0,0,Verified,Never Activated
28138465,10025642480,Brandy O'Neal,Active,Pending,,,,,Pending,Pending - data not yet available
28146193,10025650069,♛Anderson Small♛,Active,Pending,,,,,Pending,Pending - data not yet available
28146232,10025650108,Crystal Varellas 🌸,Active,Pending,,,,,Pending,Pending - data not yet available
28146261,10025650138,Dillon Malo | Latina Content Creator & Actress,Active,Pending,,,,,Pending,Pending - data not yet available
28146290,10025650167,itskareemmaliek,Active,,,0,0,0,Verified,Never Activated
28146293,10025650170,Alliyah P.,Active,Pending,,,,,Pending,Pending - data not yet available
28146549,10025650436,gianalaurenmua,Active,,,0,0,0,Verified,Never Activated
28147248,10025651120,Jennifer Alexander,Active,Pending,,,,,Pending,Pending - data not yet available
28147899,10025651759,Bali Baby 💋,Active,Pending,,,,,Pending,Pending - data not yet available
28148532,10025652395,Alanna Hutton,Active,,,0,0,0,Verified,Never Activated
