Id,PublisherId,PublisherName,Status,InstagramHandle,TikTokHandle
12413178,10011182106,_gemmalouisemiles,Active,_gemmalouisemiles,
12439769,10011205822,Sophia  and Cinzia,Active,,
12439770,10011205823,Chanel  Ambrose,Active,,
12440084,10011206096,Josie,Active,josieldn,josieldn
12440297,10011206164,Georgia  May,Active,georgiamay,georgia.mayx
12440578,10011206215,Amy-Rose  Walker,Active,amyrosewalker,amyrosewalker
12443922,10011209265,Hazel  Wood,Active,hazelwoodx,
12461675,10011223695,Hannah  Renée,Active,hanxrenee,hanxrenee
12462121,10011224155,jossandmain,Active,,
12516849,10011273630,Yaz  Caramanli,Active,yazcaramanli_,yazcaramanli
12521504,10011277783,Tracy  Kiss,Active,tracykissdotcom,tracykissdotcom
12522295,10011278545,Molly  Thompson,Active,molly_thompson,mollythompson
12523617,10011279414,coco__5,Active,coco__5,
12525087,10011280870,Maria Valeria Urdaneta,Active,sincerelymvu,sincerelymvu
12525722,10011281024,Rania | Home & Lifestyle,Active,homesweetbeit,
12527218,10011281841,LAUREN BURKE | DIY + Design,Active,laurenelizabethburke,laurenelizabethburke
12528442,10011282813,Joseline L,Active,joselinelugo_,
12531140,10011285670,Sarah  Bock,Active,sarari1337,sarahbock1337
12531113,10011285643,"↟  Brina | 📍Trier, Germany ↟",Active,brina.explores,
12531180,10011285710,Simon  Moser & Assistent Schelker,Active,moser.simon,
12531152,10011285682,Max  Herre,Active,maxherreofficial,
12531173,10011285703,Chefket,Active,chefket,
12531134,10011285664,Megaloh,Active,megaloh.official,
12531135,10011285665,Anna  Scherg,Active,anpaulinas,
12531111,10011285641,Ramon  Roselly,Active,ramonroselly_official,
12531107,10011285637,Nele  Hillebrandt,Active,faminino,bunterbasteln
12531169,10011285699,Selina  Mour,Active,selinamour,selinamour
12531136,10011285666,Yannik  Vogel,Active,yannikvogel,yannikvogel
12531131,10011285661,Frida  Gold,Active,fridagold,
12531129,10011285659,Gaffi,Active,oberfeldbesen,
12531175,10011285705,Sinan  Saibou,Active,sa1bou,sa1bou
12531105,10011285635,Till  Reiners,Active,realreiners,
12531121,10011285651,Melike  Kazar,Active,easyinterieur,easyinterieur
12531231,10011285761,Juli,Active,julithepilot,misssisofficial
12531147,10011285677,Vanessa,Active,russkaja15,russkaja15
12531122,10011285652,Vaspel,Active,dervaspel,dervaspel
12531118,10011285648,Nataschaa  Zbr,Active,nataschaa.zbr,nataschaa.zbr
12531177,10011285707,Lea  Katharina,Active,leakatharina_,leaxlinda
12531170,10011285700,Julia  Kautz,Active,kautzagram,juliakautz
12531160,10011285690,Madsen,Active,madsen_official,
12531108,10011285638,Sedo  Wexx TV,Active,sedo_wexx_tv,sedowexxtvneu
12531138,10011285668,Tante  Gutschein,Active,,
12531162,10011285692,Polizei  Frankfurt,Active,polizeihessenkarriere,
12531106,10011285636,Bratan.ma4,Active,bratan.ma4,
12531209,10011285739,Serdar  Sarial,Active,serdarsarial,
12531212,10011285742,Schubi  AKpella,Active,schubi_akpella,schubi_akpella
12531115,10011285645,Coach  Bennet,Active,coachbennet,coach.bennet
12531230,10011285760,musikvonlotte,Active,musikvonlotte,
12531114,10011285644,Niko  Stil,Active,niko_stil,niko_stil
12531242,10011285772,XXXLutz  Deutschland,Active,xxxlutz_de,
12531120,10011285650,Sebastian  Feichtinger,Active,sebvines,sebvines
12531117,10011285647,misterhix,Active,w_hirsch_,exhumia
12531144,10011285674,Cat  Ballou,Active,cat_ballou_musik,cat_ballou_music
12531235,10011285765,rahmatrahmeh,Active,,rahmatrahmeh
12531116,10011285646,Nektarios  Sinis,Active,prof_sinis_berlin,
12531236,10011285766,Manbun23,Active,,7.mu.di
12531119,10011285649,Yuliya  Oleksandrivna,Active,loveforyu,loveforyu
12531237,10011285767,Laura,Active,,lauraxprime
12531205,10011285735,Zweikanalton,Active,,zweikanalton
12531201,10011285731,wandamusik,Active,,
12531311,10011285838,Alexeys.tech,Active,alexanderisch,
12531433,10011285963,Yassin,Active,yassin_ypsilon,
12531332,10011285859,CYMO,Active,cymomusic,
12531409,10011285938,Benoby,Active,benoby_,
12531304,10011285831,J  A L U C E,Active,,
12531310,10011285837,TIMU,Active,timubolsans,
12531360,10011285887,mrsninachartier,Active,,
12531297,10011285824,𝒁𝒚𝒎𝒃𝒂,Active,zymba,
12531381,10011285910,Sylabil  Spill,Active,sylabilspill,
12531439,10011285970,Luissa  Cara Hansen,Active,luissahansen,
12531351,10011285878,Jini,Active,jinimeyer,
12531328,10011285855,Big  Mike,Active,bigmikecolonia,
12531408,10011285937,ela.,Active,elasmusik,
